# h,rectangle,trapz,simpson
1.838235294117647120e-02,9.162187505238783558e-03,2.815444570369862731e-05,1.269577332152493909e-09
1.824817518248175036e-02,9.095514235578860962e-03,2.774492739998635216e-05,1.232907997916754539e-09
1.811594202898550790e-02,9.029804309832023534e-03,2.734427950290552189e-05,1.197552279563751654e-09
1.798561151079136611e-02,8.965036999301290166e-03,2.695224766480208700e-05,1.163455998209883546e-09
1.785714285714285615e-02,8.901192165756022234e-03,2.656858658944827312e-05,1.130563198614709108e-09
1.773049645390071052e-02,8.838250240552625314e-03,2.619305964746132531e-05,1.098826807321984234e-09
1.760563380281690224e-02,8.776192204641652950e-03,2.582543851481489128e-05,1.068194421804946614e-09
1.748251748251748380e-02,8.714999569405357249e-03,2.546550282023218870e-05,1.038622521321030945e-09
1.736111111111111188e-02,8.654654358292823702e-03,2.511303982011270364e-05,1.010066696949252218e-09
1.724137931034482735e-02,8.595139089219827611e-03,2.476784407878795946e-05,9.824852043038845295e-10
1.712328767123287576e-02,8.536436757677456910e-03,2.442971717364628148e-05,9.558389635344610724e-10
1.700680272108843691e-02,8.478530820539731394e-03,2.409846740736298898e-05,9.300915593257741421e-10
1.689189189189189283e-02,8.421405180516927658e-03,2.377390953878233404e-05,9.052039118273569329e-10
1.677852348993288598e-02,8.365044171238622539e-03,2.345586452090486773e-05,8.811440466161002405e-10
1.666666666666666644e-02,8.309432542931816101e-03,2.314415925663837470e-05,8.578773247336357599e-10
1.655629139072847811e-02,8.254555448664824269e-03,2.283862635721334300e-05,8.353735481136936869e-10
1.644736842105263067e-02,8.200398431125854870e-03,2.253910392813196495e-05,8.136034068684239173e-10
1.633986928104575256e-02,8.146947409940707985e-03,2.224543534179446169e-05,7.925375911099763471e-10
1.623376623376623223e-02,8.094188669448776352e-03,2.195746904565254454e-05,7.721494554857599724e-10
1.612903225806451568e-02,8.042108846987083837e-03,2.167505835704020001e-05,7.524114664647640893e-10
1.602564102564102422e-02,7.990694921594432287e-03,2.139806127932075697e-05,7.333014195864961948e-10
1.592356687898089165e-02,7.939934203168519389e-03,2.112634032247484583e-05,7.147944458552046854e-10
1.582278481012658333e-02,7.889814322015631376e-03,2.085976233967556936e-05,6.968692289888167579e-10
1.572327044025157231e-02,7.840323218807121464e-03,2.059819835142917555e-05,6.795000118131611089e-10
1.562500000000000000e-02,7.791449134901817786e-03,2.034152339991379677e-05,6.626681425814240356e-10
1.552795031055900603e-02,7.743180603037025378e-03,2.008961639266004795e-05,6.463558577252115356e-10
1.543209876543209791e-02,7.695506438355259604e-03,1.984235996754790676e-05,6.305418409624508058e-10
1.533742331288343551e-02,7.648415729765822846e-03,1.959964034714545278e-05,6.152083287247478438e-10
1.524390243902438991e-02,7.601897831615467283e-03,1.936134721525206714e-05,6.003384456221283472e-10
1.515151515151515194e-02,7.555942355675249189e-03,1.912737358811256172e-05,5.859144280861983134e-10
1.506024096385542160e-02,7.510539163392948581e-03,1.889761569184855716e-05,5.719211770838228404e-10
1.497005988023952100e-02,7.465678358451022234e-03,1.867197285587707256e-05,5.583435935818670259e-10
1.488095238095238013e-02,7.421350279561700347e-03,1.845034739211826036e-05,5.451665785471959680e-10
1.479289940828402289e-02,7.377545493542747579e-03,1.823264449463124492e-05,5.323768093035141646e-10
1.470588235294117627e-02,7.334254788615268694e-03,1.801877213924996113e-05,5.199582986392670136e-10
1.461988304093567170e-02,7.291469167953756880e-03,1.780864098410717133e-05,5.079003884134181135e-10
1.453488372093023236e-02,7.249179843445752169e-03,1.760216427726390975e-05,4.961906441280916624e-10
1.445086705202312111e-02,7.207378229680649895e-03,1.739925776611528363e-05,4.848157431069921586e-10
1.436781609195402279e-02,7.166055938135684755e-03,1.719983961212534496e-05,4.737659153875029006e-10
1.428571428571428527e-02,7.125204771566195916e-03,1.700383031000285428e-05,4.630278382933283865e-10
1.420454545454545407e-02,7.084816718578856864e-03,1.681115260421250923e-05,4.525935182186913153e-10
1.412429378531073441e-02,7.044883948402969054e-03,1.662173141792067099e-05,4.424496324872961850e-10
1.404494382022471871e-02,7.005398805821627661e-03,1.643549377483566332e-05,4.325899638502050948e-10
1.396648044692737345e-02,6.966353806284075745e-03,1.625236873348256950e-05,4.230029659879619430e-10
1.388888888888888812e-02,6.927741631173489623e-03,1.607228731614895878e-05,4.136806452947894286e-10
1.381215469613259611e-02,6.889555123233748191e-03,1.589518244671239700e-05,4.046123436296511500e-10
1.373626373626373603e-02,6.851787282148968927e-03,1.572098888491524349e-05,3.957927319220289064e-10
1.366120218579234928e-02,6.814431260262487910e-03,1.554964316952123227e-05,3.872111520308862964e-10
1.358695652173913006e-02,6.777480358442389274e-03,1.538108355880751787e-05,3.788613867072854191e-10
1.351351351351351426e-02,6.740928022069603287e-03,1.521524997460943496e-05,3.707354423454489734e-10
1.344086021505376365e-02,6.704767837168112976e-03,1.505208395169432833e-05,3.628253253395996580e-10
1.336898395721925099e-02,6.668993526651512127e-03,1.489152858002995572e-05,3.551265947976389725e-10
1.329787234042553203e-02,6.633598946687691011e-03,1.473352846215192358e-05,3.476303689353699156e-10
1.322751322751322678e-02,6.598578083186090737e-03,1.457802966253751720e-05,3.403295423254348862e-10
1.315789473684210453e-02,6.563925048385321759e-03,1.442497965786770919e-05,3.332205622541550838e-10
1.308900523560209417e-02,6.529634077559798300e-03,1.427432729972366587e-05,3.262972114725926076e-10
1.302083333333333391e-02,6.495699525816078790e-03,1.412602276840146942e-05,3.195514963749701565e-10
1.295336787564766758e-02,6.462115865001116788e-03,1.398001752850319690e-05,3.129789760691892297e-10
1.288659793814432922e-02,6.428877680697553387e-03,1.383626429340978348e-05,3.065752096631513268e-10
1.282051282051282007e-02,6.395979669310492000e-03,1.369471698708935037e-05,3.003339799079185468e-10
1.275510204081632681e-02,6.363416635255525478e-03,1.355533070501735438e-05,2.942517340898120892e-10
1.269035532994923846e-02,6.331183488208935728e-03,1.341806167953762952e-05,2.883213667814743530e-10
1.262626262626262603e-02,6.299275240470691983e-03,1.328286724788796391e-05,2.825402134476462379e-10
1.256281407035175941e-02,6.267687004381627958e-03,1.314970581045571407e-05,2.769038331962292432e-10
1.250000000000000069e-02,6.236413989829436844e-03,1.301853681123787965e-05,2.714060087782854680e-10
1.243781094527363247e-02,6.205451501830161476e-03,1.288932069787307455e-05,2.660458520153952122e-10
1.237623762376237682e-02,6.174794938175409698e-03,1.276201889499617437e-05,2.608162574802008749e-10
1.231527093596059171e-02,6.144439787152400356e-03,1.263659377404025008e-05,2.557136724590236554e-10
1.225490196078431356e-02,6.114381625333287218e-03,1.251300862836757233e-05,2.507363205950241536e-10
1.219512195121951262e-02,6.084616115421326299e-03,1.239122764307154512e-05,2.458797609961038688e-10
1.213592233009708719e-02,6.055139004168985650e-03,1.227121587099588851e-05,2.411386645917446003e-10
1.207729468599033802e-02,6.025946120351122204e-03,1.215293920520110760e-05,2.365121432035266480e-10
1.201923076923076990e-02,5.997033372794113859e-03,1.203636436120092412e-05,2.319975322961909114e-10
1.196172248803827748e-02,5.968396748468052238e-03,1.192145884498785335e-05,2.275877264423797897e-10
1.190476190476190410e-02,5.940032310628673429e-03,1.180819093438145728e-05,2.232836138205129828e-10
1.184834123222748732e-02,5.911936197016132155e-03,1.169652965771206254e-05,2.190807535384919902e-10
1.179245283018868010e-02,5.884104618094632144e-03,1.158644477428083519e-05,2.149755928826380114e-10
1.173708920187793367e-02,5.856533855355117169e-03,1.147790674949078493e-05,2.109663554961116461e-10
1.168224299065420517e-02,5.829220259656153758e-03,1.137088673708319675e-05,2.070512650220734940e-10
1.162790697674418589e-02,5.802160249617216436e-03,1.126535656137406249e-05,2.032249923900053545e-10
1.157407407407407343e-02,5.775350310047500102e-03,1.116128869416144198e-05,1.994875375999072276e-10
1.152073732718894052e-02,5.748786990428911281e-03,1.105865624584367879e-05,1.958353479381003126e-10
1.146788990825688137e-02,5.722466903432810170e-03,1.095743293433315557e-05,1.922675352261649095e-10
1.141552511415525051e-02,5.696386723480273417e-03,1.085759308683265090e-05,1.887778822151631175e-10
1.136363636363636395e-02,5.670543185345877646e-03,1.075911159986731036e-05,1.853699416187737370e-10
1.131221719457013546e-02,5.644933082785463796e-03,1.066196394905460920e-05,1.820366080096391670e-10
1.126126126126126073e-02,5.619553267218968529e-03,1.056612615180085868e-05,1.787778813877594075e-10
1.121076233183856442e-02,5.594400646436348268e-03,1.047157476641302765e-05,1.755928735747147584e-10
1.116071428571428596e-02,5.569472183343471272e-03,1.037828687167063890e-05,1.724780318568264192e-10
1.111111111111111154e-02,5.544764894734655059e-03,1.028624005794398499e-05,1.694324680556746898e-10
1.106194690265486710e-02,5.520275850110500926e-03,1.019541240498966772e-05,1.664535176360004698e-10
1.101321585903083759e-02,5.496002170510827511e-03,1.010578247662152762e-05,1.635394042409643589e-10
1.096491228070175378e-02,5.471941027392901447e-03,1.001732931005250293e-05,1.606883515137269569e-10
1.091703056768558895e-02,5.448089641530096117e-03,9.930032391913812262e-06,1.579003594542882638e-10
1.086956521739130405e-02,5.424445281943413022e-03,9.843871658254954582e-06,1.551718753489694791e-10
1.082251082251082207e-02,5.401005264853431242e-03,9.758827476780140842e-06,1.525020110193509026e-10
1.077586206896551796e-02,5.377766952674001288e-03,9.674880637966509767e-06,1.498898782870128343e-10
1.072961373390557936e-02,5.354727753012156199e-03,9.592012344405986823e-06,1.473328126166961738e-10
1.068376068376068397e-02,5.331885117716872458e-03,9.510204199258964763e-06,1.448308140084009210e-10
1.063829787234042527e-02,5.309236541925166364e-03,9.429438194707984167e-06,1.423803297484482755e-10
1.059322033898305038e-02,5.286779563159704765e-03,9.349696705740484504e-06,1.399822480152579374e-10
1.054852320675105440e-02,5.264511760429080311e-03,9.270962475049771001e-06,1.376347924519905064e-10
1.050420168067226975e-02,5.242430753356508433e-03,9.193218612146836222e-06,1.353361867018065823e-10
1.046025104602510414e-02,5.220534201333393298e-03,9.116448575596791670e-06,1.330855425862864649e-10
1.041666666666666609e-02,5.198819802699539139e-03,9.040636167689797276e-06,1.308810837485907541e-10
1.037344398340248920e-02,5.177285293925137921e-03,8.965765528223812453e-06,1.287210338318800495e-10
1.033057851239669450e-02,5.155928448828284161e-03,8.891821122070098227e-06,1.266071691929937515e-10
1.028806584362139918e-02,5.134747077812029659e-03,8.818787735620503554e-06,1.245359371182530595e-10
1.024590163934426153e-02,5.113739027111208202e-03,8.746650463464789027e-06,1.225064494292382733e-10
1.020408163265306041e-02,5.092902178064129259e-03,8.675394703949734776e-06,1.205178179475296929e-10
1.016260162601625994e-02,5.072234446398482532e-03,8.605006154738248370e-06,1.185700426731273183e-10
1.012145748987854262e-02,5.051733781542999679e-03,8.535470798598510100e-06,1.166631236060311494e-10
1.008064516129032230e-02,5.031398165936451505e-03,8.466774903403972985e-06,1.147917316757229855e-10
1.004016064257028107e-02,5.011225614381054072e-03,8.398905008810686468e-06,1.129594195958816272e-10
1.000000000000000021e-02,4.991214173385216668e-03,8.331847928033653261e-06,1.111626346528282738e-10
9.960159362549800624e-03,4.971361920535599666e-03,8.265590731859617790e-06,1.094013768465629255e-10
9.920634920634920084e-03,4.951666963886047768e-03,8.200120748647066193e-06,1.076747579986658820e-10
9.881422924901185970e-03,4.932127441352740504e-03,8.135425558108977384e-06,1.059818899307174433e-10
9.842519685039369942e-03,4.912741520121777228e-03,8.071492982431038854e-06,1.043227726427176094e-10
9.803921568627450844e-03,4.893507396087848349e-03,8.008311080942576154e-06,1.026965179562466801e-10
9.765625000000000000e-03,4.874423293288465686e-03,7.945868149228374477e-06,1.011013495144652552e-10
9.727626459143969007e-03,4.855487463355956379e-03,7.884152707582359199e-06,9.953726731737333466e-11
9.689922480620154904e-03,4.836698184983667659e-03,7.823153498343060619e-06,9.800160682971181814e-11
9.652509652509652302e-03,4.818053763407270651e-03,7.762859481452721866e-06,9.649703258673980599e-11
9.615384615384615918e-03,4.799552529894945962e-03,7.703259829128228375e-06,9.502176823161789798e-11
9.578544061302681281e-03,4.781192841244674696e-03,7.644343920532037373e-06,9.357314922908699373e-11
9.541984732824427759e-03,4.762973079307286639e-03,7.586101335554928937e-06,9.215295193598649348e-11
9.505703422053231669e-03,4.744891650497073954e-03,7.528521853039649159e-06,9.075851181705729687e-11
9.469696969696969960e-03,4.726946985343261076e-03,7.471595445451839623e-06,8.939160522913880413e-11
9.433962264150943036e-03,4.709137538021046510e-03,7.415312274439145312e-06,8.804956763697191491e-11
9.398496240601503238e-03,4.691461785918171756e-03,7.359662684613965666e-06,8.673328721897632931e-11
9.363295880149813052e-03,4.673918229197937535e-03,7.304637200000740904e-06,8.544187579673234723e-11
9.328358208955223052e-03,4.656505390369325426e-03,7.250226526700487284e-06,8.417178065656116814e-11
9.293680297397769949e-03,4.639221813884653045e-03,7.196421536015407128e-06,8.292833086898099282e-11
9.259259259259258745e-03,4.622066065718577477e-03,7.143213275107029858e-06,8.170619736347362050e-11
9.225092250922509174e-03,4.605036732985290371e-03,7.090592949232643605e-06,8.050715649687845143e-11
9.191176470588235600e-03,4.588132423542390370e-03,7.038551928850722561e-06,7.932943191235608538e-11
9.157509157509157935e-03,4.571351765613407281e-03,6.987081741627321207e-06,7.817302360990652232e-11
9.124087591240875178e-03,4.554693407418319850e-03,6.936174071547895892e-06,7.703793158952976228e-11
9.090909090909090468e-03,4.538156016809402615e-03,6.885820748259163793e-06,7.592415585122580524e-11
9.057971014492753950e-03,4.521738280914178176e-03,6.836013753286351857e-06,7.482992003815525095e-11
9.025270758122743570e-03,4.505438905791692150e-03,6.786745212927769444e-06,7.375522415031809942e-11
8.992805755395683054e-03,4.489256616091452656e-03,6.738007392037559384e-06,7.269918000929465052e-11
8.960573476702508519e-03,4.473190154716810696e-03,6.689792695802054823e-06,7.166267579350460437e-11
8.928571428571428076e-03,4.457238282507880456e-03,6.642093664410708698e-06,7.064393514610856073e-11
8.896797153024911878e-03,4.441399777913801472e-03,6.594902969503380064e-06,6.964473442394591984e-11
8.865248226950355262e-03,4.425673436684540718e-03,6.548213415946690930e-06,6.866152091333788121e-11
8.833922261484099259e-03,4.410058071568023763e-03,6.502017930287706804e-06,6.769607097112384508e-11
8.802816901408451120e-03,4.394552512010818646e-03,6.456309567859364051e-06,6.674749641888411134e-11
8.771929824561403022e-03,4.379155603859707924e-03,6.411081503898685696e-06,6.581490907819897984e-11
8.741258741258741902e-03,4.363866209081912473e-03,6.366327030882246163e-06,6.490008530590785085e-11
8.710801393728222555e-03,4.348683205485315284e-03,6.322039561190706536e-06,6.399947238833192387e-11
8.680555555555555941e-03,4.333605486438685261e-03,6.278212618227030362e-06,6.311662303914999939e-11
8.650519031141869208e-03,4.318631960603447340e-03,6.234839840857375748e-06,6.224709636626357678e-11
8.620689655172413673e-03,4.303761551673446206e-03,6.191914975417489586e-06,6.139266872651205631e-11
8.591065292096220635e-03,4.288993198120039096e-03,6.149431873936350712e-06,6.055334011989543797e-11
8.561643835616437881e-03,4.274325852927418623e-03,6.107384497688883584e-06,5.972733418957432150e-11
8.532423208191126582e-03,4.259758483361686388e-03,6.065766906537817249e-06,5.891642729238810716e-11
8.503401360544218454e-03,4.245290070711504882e-03,6.024573262486399017e-06,5.811973124991709483e-11
8.474576271186440649e-03,4.230919610063388347e-03,5.983797828790216045e-06,5.733458152690218412e-11
8.445945945945946415e-03,4.216646110066335496e-03,5.943434961963589558e-06,5.656364265860247542e-11
8.417508417508417357e-03,4.202468592696462224e-03,5.903479115332288529e-06,5.580513828817856847e-11
8.389261744966442988e-03,4.188386093045615155e-03,5.863924834592637580e-06,5.506084477246986353e-11
8.361204013377926056e-03,4.174397659089557067e-03,5.824766758699695401e-06,5.432720939779756009e-11
8.333333333333333218e-03,4.160502351484574035e-03,5.785999609209113714e-06,5.360689669942075852e-11
8.305647840531562090e-03,4.146699243352536257e-03,5.747618202711635149e-06,5.289813032050005859e-11
8.278145695364239054e-03,4.132987420072176121e-03,5.709617439286773788e-06,5.220091026103546028e-11
8.250825082508250058e-03,4.119365979081024420e-03,5.671992300726458325e-06,5.151434834260726348e-11
8.223684210526315333e-03,4.105834029675570207e-03,5.634737851423210486e-06,5.084022092205486842e-11
8.196721311475410263e-03,4.092390692819414255e-03,5.597849241034680290e-06,5.017675164253887488e-11
8.169934640522876282e-03,4.079035100949646164e-03,5.561321692049148169e-06,4.952482868247898296e-11
8.143322475570032720e-03,4.065766397790326891e-03,5.525150510443666008e-06,4.888178750661609229e-11
8.116883116883116117e-03,4.052583738173076711e-03,5.489331074137737687e-06,4.825029265020930325e-11
8.090614886731390884e-03,4.039486287856774993e-03,5.453858837434211182e-06,4.762856775641921558e-11
8.064516129032257841e-03,4.026473223345483632e-03,5.418729326578386463e-06,4.701661282524582930e-11
8.038585209003214910e-03,4.013543731723245855e-03,5.383938142422550754e-06,4.641531603510884452e-11
8.012820512820512109e-03,4.000697010484444149e-03,5.349480952432372760e-06,4.582290102916886099e-11
7.987220447284344715e-03,3.987932267359717287e-03,5.315353496904151598e-06,4.524114416426527896e-11
7.961783439490445827e-03,3.975248720165858174e-03,5.281551580971211024e-06,4.466649272671929793e-11
7.936507936507936067e-03,3.962645596630842704e-03,5.248071078156613112e-06,4.410249943020971841e-11
7.911392405063291666e-03,3.950122134253497563e-03,5.214907925044087733e-06,4.354738791789714014e-11
7.886435331230283452e-03,3.937677580133858157e-03,5.182058124830746237e-06,4.299938183294216287e-11
7.861635220125786153e-03,3.925311190837277309e-03,5.149517741998010933e-06,4.246114571060388698e-11
7.836990595611284527e-03,3.913022232232776787e-03,5.117282902311615089e-06,4.193001501562321209e-11
7.812500000000000000e-03,3.900809979358044188e-03,5.085349791933424513e-06,4.140954246167893871e-11
7.788161993769470402e-03,3.888673716270218961e-03,5.053714659197794390e-06,4.089617533509226632e-11
7.763975155279503014e-03,3.876612735910001106e-03,5.022373804841606670e-06,4.038991363586319494e-11
7.739938080495356067e-03,3.864626339961318990e-03,4.991323592662411102e-06,3.989253372083112481e-11
7.716049382716048954e-03,3.852713838720767114e-03,4.960560439748462613e-06,3.940225923315665568e-11
7.692307692307692735e-03,3.840874550961714817e-03,4.930080818255078157e-06,3.891909017283978756e-11
7.668711656441717754e-03,3.829107803801967691e-03,4.899881253628279865e-06,3.844480289671992068e-11
7.645259938837920335e-03,3.817412932585639851e-03,4.869958326381151892e-06,3.797584469111825456e-11
7.621951219512194953e-03,3.805789280748150816e-03,4.840308667652948316e-06,3.751488009129388956e-11
7.598784194528875567e-03,3.794236199697209599e-03,4.810928960097271556e-06,3.706102091882712557e-11
7.575757575757575968e-03,3.782753048694686981e-03,4.781815936105715537e-06,3.661426717371796258e-11
7.552870090634441515e-03,3.771339194734046885e-03,4.752966378696044103e-06,3.617373067754670046e-11
7.530120481927710802e-03,3.759994012423995002e-03,4.724377118847655765e-06,3.573941143031333922e-11
7.507507507507507442e-03,3.748716883881009210e-03,4.696045032837048439e-06,3.531219761043757899e-11
7.485029940119760500e-03,3.737507198607659120e-03,4.667967044902354701e-06,3.489031286108001950e-11
7.462686567164178962e-03,3.726364353387801032e-03,4.640140129019698634e-06,3.447642171749976114e-11
7.440476190476190063e-03,3.715287752179996517e-03,4.612561297356876366e-06,3.406697146601800341e-11
7.418397626112759914e-03,3.704276806003825584e-03,4.585227610043318691e-06,3.366551482031354681e-11
7.396449704142011444e-03,3.693330932845739767e-03,4.558136172505555805e-06,3.326849906670759083e-11
7.374631268436578069e-03,3.682449557548927999e-03,4.531284127473611534e-06,3.287770056203953573e-11
