h,1st_order_error,2nd_order_error
0.2,0.06970351308265585,0.002018220405464316
0.1,0.03499447321522853,0.0005054127818966275
0.06666666666666667,0.02337550656587835,0.00022523681966526987
0.05,0.01755072817981304,0.00012717342061923514
0.04,0.014050185377987051,8.178376310802316e-05
0.03333333333333333,0.011713943904475485,5.712757043772193e-05
0.02857142857142857,0.01004389565628579,4.2260635974691874e-05
0.025,0.008790624251486759,3.2611412471482415e-05
0.022222222222222223,0.007815412296239273,2.5995931507375586e-05
0.02,0.007034957510631483,2.1263914338685158e-05
0.01818181818181818,0.006396212558078193,1.7762755436395022e-05
0.016666666666666666,0.005863792380812884,1.5099836173003423e-05
0.015384615384615385,0.005413187949744014,1.3027458369270148e-05
0.014285714285714285,0.005026885731249807,1.138308972544605e-05
0.013333333333333334,0.004692038001147904,1.00564968288884e-05
0.0125,0.004399006055775133,8.970777629102242e-06
0.011764705882352941,0.004140417169788154,8.07096002596562e-06
0.011111111111111112,0.003910535658910584,7.316904067586685e-06
0.010526315789473684,0.0037048324076778636,6.678746462865023e-06
0.01,0.0035196834469632815,6.133897879970207e-06
